"B008","C001","C002","E018","E035","E036","E039","F028","F116","F118","F120","F121","G006","X001","X003","X025R","X049","Y001","E033","E179WVS"
2,2,2,3,10,1,1,8,7,1,1,1,2,1,53,1,4,3,5,NA
2,1,2,3,5,1,10,8,6,1,1,1,3,1,44,1,4,3,6,4
1,2,2,3,1,1,1,5,1,1,1,4,3,1,39,1,4,0,1,76003
1,1,2,3,2,1,10,1,1,1,1,8,3,1,20,1,6,4,10,76001
1,2,2,3,10,1,10,6,1,1,1,5,3,1,56,1,3,2,10,NA
1,1,2,3,6,4,8,6,1,5,1,5,4,1,24,2,6,0,5,76001
1,1,1,3,7,4,6,2,1,9,1,5,3,1,18,2,6,3,7,NA
2,1,2,2,9,1,4,7,6,1,1,1,4,1,61,1,8,1,4,NA
1,2,2,3,5,5,6,8,1,4,3,8,3,1,58,2,7,3,5,4
1,1,2,3,1,5,5,5,1,5,1,10,4,1,50,1,4,3,10,76002
1,1,2,1,8,2,1,7,1,10,2,8,2,1,18,3,7,4,NA,NA
1,1,2,3,2,9,8,7,1,1,1,7,3,1,56,1,7,2,2,4
1,1,2,3,2,2,3,8,1,5,6,9,3,1,62,3,7,2,10,5
1,2,2,3,2,9,2,7,1,1,1,7,2,1,51,1,7,2,NA,4
2,1,2,3,3,8,5,3,1,1,1,10,4,1,34,2,7,2,8,4
1,1,2,3,6,3,4,6,2,10,6,8,4,1,28,3,6,4,5,4
1,1,2,3,8,10,4,6,2,2,2,2,3,1,18,2,6,NA,5,4
2,1,2,3,1,8,8,5,1,2,1,6,3,1,71,2,7,3,2,4
2,1,2,NA,5,1,5,7,1,5,1,5,3,1,18,2,4,1,5,76003
1,2,2,3,3,7,6,3,1,1,1,8,3,1,57,1,8,2,10,4
1,1,2,3,2,4,5,7,1,1,1,7,3,1,81,1,8,3,10,4
1,1,1,2,1,8,1,3,1,5,5,5,2,1,19,2,8,3,5,4
1,1,3,3,2,9,9,7,1,1,1,5,3,1,70,2,8,3,1,4
1,1,3,3,2,10,10,7,1,1,1,5,1,1,30,2,8,3,10,4
2,2,2,3,2,5,2,6,2,10,1,9,3,1,56,1,8,1,NA,4
2,3,2,3,1,1,1,2,1,5,3,9,3,1,56,1,8,1,8,4
1,1,1,3,8,4,9,1,1,1,2,5,4,1,41,3,8,1,2,76002
2,1,2,2,1,4,1,7,1,6,5,10,3,1,23,2,8,0,NA,4
2,3,2,3,1,1,1,7,1,5,1,9,3,1,50,2,8,1,NA,NA
2,3,2,2,4,4,6,1,1,7,3,10,3,1,35,3,8,0,NA,4
2,1,1,2,2,3,9,1,1,6,2,9,3,1,43,2,8,1,NA,76001
1,3,1,2,2,2,6,2,1,4,2,10,3,1,60,2,8,2,NA,76001
1,3,1,2,2,5,7,8,1,1,1,1,3,1,23,3,8,2,5,4
1,2,2,3,10,10,1,2,5,5,1,5,3,1,50,2,8,2,1,76002
NA,1,2,3,1,1,1,2,1,1,1,1,3,1,24,2,8,NA,1,4
1,1,2,3,10,10,1,7,7,NA,7,5,4,1,34,1,8,0,NA,NA
2,2,2,3,1,10,5,7,6,5,1,2,4,1,58,1,8,1,7,76001
1,1,2,3,8,8,8,7,1,2,1,2,1,1,67,1,4,3,6,4
1,1,3,3,8,9,5,5,1,1,1,5,4,1,86,1,4,2,10,76003
2,2,2,3,6,10,5,6,1,10,1,10,4,1,60,1,4,1,6,76002
1,1,2,2,2,1,1,2,1,8,1,10,3,1,63,3,4,3,5,4
1,1,3,3,9,9,4,8,1,1,1,1,3,1,75,1,4,0,6,4
1,1,2,1,2,9,1,2,1,10,5,10,2,1,57,1,4,NA,5,4
1,1,2,3,5,5,1,6,1,1,1,5,4,1,69,1,3,0,8,NA
2,3,2,3,1,5,5,7,1,1,1,1,3,1,31,1,3,2,8,76002
1,3,2,3,7,5,5,2,6,5,1,7,4,1,38,1,3,1,5,4
1,1,2,3,8,5,1,3,1,6,4,7,3,1,56,1,3,2,5,4
2,1,2,3,8,2,2,1,1,5,3,8,3,1,43,1,3,2,10,76002
1,1,1,3,9,1,9,2,2,10,10,8,3,1,27,1,3,2,5,76003
2,1,2,3,1,7,9,7,8,1,5,5,3,1,67,2,8,2,5,4
1,3,3,3,8,1,1,8,1,NA,1,NA,3,1,75,NA,NA,3,1,76002
1,1,2,2,1,5,2,1,1,1,5,5,3,1,26,1,6,2,NA,4
1,1,2,3,3,6,1,7,1,NA,1,7,3,1,33,2,6,1,5,4
1,1,2,3,5,1,1,7,1,NA,5,5,4,1,48,2,6,2,NA,4
NA,1,2,3,1,1,1,7,1,NA,5,5,4,1,32,2,6,2,5,4
1,3,2,3,5,5,1,7,1,1,5,5,4,1,67,1,6,2,5,76002
1,1,2,2,8,1,1,7,5,5,1,5,3,1,46,3,5,3,4,4
2,1,1,3,8,1,1,2,1,10,1,1,3,1,34,2,5,1,5,4
1,1,2,3,6,3,1,7,6,1,1,10,2,1,47,1,5,3,4,76014
2,1,2,3,10,1,1,7,10,1,1,1,4,1,69,1,6,2,NA,4
2,1,2,3,10,10,1,8,10,1,1,1,3,1,18,1,6,2,10,5
2,3,2,3,10,10,10,7,10,1,1,5,4,1,28,2,6,2,5,76003
2,1,2,3,1,10,1,7,10,1,10,10,4,1,49,1,6,2,1,76001
2,1,1,2,6,3,5,2,3,5,3,10,4,1,37,3,6,1,5,76002
1,1,2,3,10,1,1,7,1,1,1,1,1,1,32,1,6,1,9,NA
