"B008","C001","C002","E018","E034","E035","E036","E039","F028","F116","F118","F120","F121","F144_02","G006","X001","X003","X025R","X028","X049","X051","Y001","E033","E179WVS"
1,1,2,3,1,8,5,9,7,3,1,1,1,1,3,1,22,2,1,6,0,2,3,NA
2,2,2,2,2,1,5,1,7,1,NA,5,10,1,2,1,22,2,0,7,0,0,4,NA
1,1,2,2,2,5,2,3,8,1,NA,1,10,1,2,1,22,3,1,8,1,3,6,76003
NA,1,1,NA,1,10,9,5,1,2,NA,NA,10,5,3,1,22,2,0,8,0,2,4,NA
1,3,2,2,2,1,1,5,3,1,10,1,10,10,3,1,22,2,1,7,1,3,5,NA
2,1,1,2,2,1,1,1,NA,1,1,1,1,1,NA,2,22,NA,1,8,0,NA,NA,NA
1,1,1,2,2,5,5,5,1,1,1,1,5,1,2,1,22,2,1,7,1,5,NA,NA
2,1,2,2,3,1,10,1,8,5,1,5,5,5,2,2,22,3,1,7,1,1,3,5
NA,1,2,3,2,3,8,5,2,1,10,1,10,1,3,2,22,1,0,8,0,2,NA,NA
2,1,1,3,3,1,10,1,2,10,10,1,1,10,2,1,22,2,0,7,0,2,5,NA
2,2,2,3,2,10,1,5,3,1,1,1,1,8,3,1,22,1,0,8,0,2,1,76002
1,3,3,3,1,6,7,5,2,10,10,1,10,10,3,1,22,2,1,8,0,3,6,5
1,1,2,3,2,10,10,1,7,1,10,NA,10,1,3,2,22,2,0,5,1,3,1,NA
NA,2,2,2,NA,4,4,5,3,4,4,5,5,4,2,2,22,2,1,6,1,NA,4,76002
1,3,3,3,2,10,5,1,1,NA,5,8,8,5,2,2,22,3,0,8,0,2,1,NA
1,1,1,3,2,1,10,1,1,6,10,8,10,1,3,1,22,3,0,8,1,4,1,76002
NA,1,2,3,2,10,NA,5,7,10,1,NA,NA,NA,2,2,22,1,0,6,1,NA,NA,NA
2,1,2,3,3,9,10,10,8,2,5,1,1,4,2,1,22,2,1,8,0,1,8,76002
1,1,2,1,1,1,10,2,2,1,5,1,10,10,1,1,23,2,1,6,1,2,NA,76015
1,1,1,3,3,1,10,1,1,1,10,10,10,10,NA,1,23,3,1,7,1,4,NA,NA
1,3,3,3,2,5,NA,1,6,8,10,1,10,10,2,2,23,2,0,8,0,NA,10,NA
1,1,3,3,3,7,1,1,8,5,10,1,10,10,3,2,23,2,0,8,1,3,NA,5
1,1,1,3,1,1,5,5,1,1,10,10,10,1,3,2,23,3,0,8,1,4,1,76002
2,2,2,2,2,3,9,4,8,1,2,6,6,10,3,1,23,3,1,5,0,1,2,76002
