"B008","C001","C002","E018","E034","E035","E036","E039","F028","F116","F118","F120","F121","G006","X001","X003","X025R","X028","Y001","E033","E179WVS","E182"
2,2,2,3,2,10,1,1,7,1,1,1,1,3,2,56,2,0,3,10,76007,76004
1,3,2,3,2,1,1,1,7,10,10,1,10,2,1,19,2,0,5,1,NA,76003
1,3,2,3,2,1,9,1,8,1,1,1,1,4,1,63,2,1,3,6,76003,76008
1,3,3,3,2,9,4,2,3,3,7,2,8,4,2,19,2,0,2,7,76002,76013
1,3,3,3,2,7,4,3,6,1,5,1,6,4,1,29,2,1,2,5,NA,NA
1,2,2,3,2,4,5,5,6,4,1,1,6,4,1,31,2,1,2,7,76001,76012
3,3,3,2,2,6,3,5,5,1,5,1,10,4,2,26,2,1,2,6,76002,76001
2,3,2,3,2,10,10,1,6,10,1,1,6,4,2,29,1,1,2,1,76007,76008
1,3,3,3,3,10,8,6,5,1,1,1,9,4,2,32,2,0,5,9,76008,76002
2,3,2,1,2,1,4,1,7,1,9,5,10,2,1,19,2,0,4,1,76004,76005
1,3,2,3,1,5,10,2,7,1,7,1,6,4,2,37,2,1,3,1,76002,76001
2,3,2,3,2,6,2,1,1,1,6,1,6,2,2,29,2,0,3,3,76002,76004
2,3,2,3,2,5,5,1,1,5,1,5,5,4,1,34,2,0,3,5,NA,NA
2,2,2,3,3,3,8,10,6,6,1,1,2,2,2,24,1,0,0,NA,NA,NA
2,1,2,3,3,10,6,2,3,10,7,6,10,2,1,50,1,1,2,6,NA,NA
2,3,2,3,2,5,6,4,8,1,1,1,1,4,2,33,2,0,0,3,NA,NA
NA,3,2,2,NA,6,NA,5,5,3,3,1,2,4,2,34,2,1,NA,NA,76003,NA
2,2,2,3,2,7,6,4,7,3,3,1,3,3,2,24,1,0,2,NA,NA,NA
2,2,2,3,2,1,10,10,7,1,10,4,6,4,2,48,1,0,2,10,76012,76019
2,3,2,3,2,7,3,2,1,4,5,3,10,4,2,52,2,1,4,4,76002,76019
2,3,2,3,2,10,10,1,6,10,5,1,5,4,2,33,2,1,3,1,NA,NA
2,2,2,3,2,4,5,6,8,1,3,6,6,4,2,28,1,0,2,7,76001,76006
1,2,2,3,2,1,1,1,6,1,10,4,10,4,2,26,2,1,4,8,76003,76002
1,2,2,3,1,10,1,4,8,1,1,1,1,2,1,46,1,1,1,10,76008,NA
1,3,3,3,2,7,9,1,8,1,3,1,1,4,1,19,2,1,3,7,76002,NA
1,2,2,3,1,1,1,1,6,1,1,10,10,4,2,27,2,1,3,8,NA,NA
1,3,2,3,1,3,8,5,7,1,1,1,5,4,1,19,2,0,4,6,76004,76008
1,3,2,3,2,5,5,1,6,1,1,1,5,4,1,33,2,1,3,5,76001,NA
3,2,2,1,2,10,5,1,5,1,10,1,4,3,2,41,3,1,3,10,76003,76010
1,3,2,3,2,8,3,3,8,1,5,1,5,4,1,38,2,1,3,5,76002,NA
1,3,2,3,2,10,4,5,8,1,1,1,5,4,2,43,3,1,4,5,76001,76019
3,3,2,3,2,4,7,1,7,5,1,1,1,4,1,23,2,1,1,7,76003,76002
1,3,1,3,1,5,1,1,6,1,1,1,3,4,2,37,3,1,2,10,76003,76014
1,3,2,2,2,5,5,4,3,5,5,5,10,2,1,28,3,1,2,3,76002,NA
1,3,2,3,2,9,3,2,7,5,1,1,1,4,2,45,3,1,2,1,76002,NA
1,3,2,2,1,1,1,3,7,1,5,1,10,3,2,23,2,1,1,1,76002,76004
2,3,2,3,3,1,3,3,7,3,1,1,10,4,2,28,2,0,3,4,76001,76002
1,3,2,3,2,10,5,5,6,9,6,2,6,4,1,37,1,1,3,5,76002,76006
2,2,2,3,2,10,10,1,3,10,1,1,5,2,2,27,1,0,1,NA,76001,NA
2,2,2,3,2,6,6,5,6,1,3,1,5,3,1,33,2,1,3,7,76001,76002
1,2,2,3,2,6,3,8,3,3,8,10,7,4,2,20,2,0,1,5,76007,76010
1,3,2,3,1,1,1,1,7,2,5,5,5,2,1,30,2,0,2,5,76002,76005
1,2,2,3,1,9,5,10,6,5,1,1,1,4,1,18,1,1,3,8,76013,NA
1,3,2,3,1,2,2,2,6,1,1,1,1,4,2,24,1,1,4,8,76002,76010
3,3,2,2,2,1,10,5,6,1,5,5,5,NA,2,21,1,1,3,NA,76002,76014
3,3,2,3,2,6,1,1,6,1,10,10,10,4,2,42,2,0,1,6,NA,NA
3,3,2,3,2,10,10,1,7,6,1,1,5,3,1,24,2,1,2,10,76003,NA
1,2,2,3,1,1,1,10,6,1,1,1,1,2,1,38,2,1,3,1,NA,76009
3,3,2,2,1,8,2,1,7,1,1,1,1,2,1,27,3,1,2,5,76019,76001
3,3,2,3,2,6,5,3,6,1,5,5,5,2,2,20,3,1,3,3,76002,76003
3,3,2,2,1,1,NA,1,3,10,1,1,5,4,2,20,3,0,3,3,76002,76004
1,3,2,3,2,6,8,1,6,10,1,9,1,4,2,20,2,0,2,6,76004,76006
2,3,2,3,2,10,10,1,6,8,1,8,9,2,2,40,1,1,2,1,76007,NA
1,3,2,1,1,2,5,1,7,2,10,1,10,4,2,28,2,1,5,1,76002,76006
1,3,NA,2,1,10,8,1,6,1,3,1,6,4,1,21,2,1,2,5,76001,76010
1,3,3,3,2,7,5,4,6,5,6,3,5,4,1,18,2,1,2,4,76001,76002
1,3,2,3,1,10,1,5,6,1,1,1,5,4,1,37,2,1,0,1,76008,76006
1,3,3,3,2,4,10,6,6,10,1,1,10,4,2,30,1,1,1,NA,76007,76010
NA,3,2,3,2,9,1,1,6,1,5,7,10,4,1,66,1,1,2,5,NA,NA
1,2,2,2,1,8,3,2,3,2,1,1,8,4,1,18,1,1,1,1,76004,NA
1,3,2,3,2,7,6,4,6,1,1,1,1,4,1,55,1,1,2,5,NA,NA
NA,3,2,3,2,1,10,4,6,1,1,1,1,4,2,54,1,0,3,10,76003,NA
2,3,2,3,2,8,8,4,6,2,1,1,6,4,1,18,2,1,1,4,76003,76006
2,2,2,2,2,4,10,4,6,5,2,5,8,3,1,20,2,0,4,3,76002,76006
2,2,2,3,3,5,4,4,1,5,1,1,5,3,1,19,2,1,2,2,76004,76006
1,3,2,3,3,1,7,3,6,1,5,1,5,4,1,28,2,1,5,1,76001,76002
1,3,2,1,2,7,5,5,1,5,5,5,5,4,1,21,1,1,4,1,NA,76002
1,3,2,3,1,10,1,1,3,1,1,1,5,2,1,29,2,1,3,10,NA,76002
2,2,2,3,3,5,1,10,7,1,1,1,1,4,2,44,1,0,2,4,NA,NA
2,3,2,3,3,10,10,1,6,1,1,1,10,4,1,24,2,0,3,10,76006,76001
1,3,2,3,2,1,5,10,5,10,1,1,5,4,1,22,3,1,1,10,76003,76002
1,3,2,1,2,7,5,10,1,5,5,1,10,2,2,21,2,1,1,1,76006,NA
1,3,2,3,2,10,10,1,6,1,1,1,4,3,1,42,3,1,3,10,76003,NA
1,1,2,2,1,10,1,1,6,1,1,1,NA,4,2,34,2,0,3,10,76003,NA
1,3,2,3,3,8,5,7,6,7,1,1,5,4,1,22,2,1,0,1,76002,76006
2,3,3,3,2,2,3,8,6,1,1,1,7,4,1,54,1,1,3,9,NA,76002
1,3,2,3,3,3,4,1,5,1,2,1,1,4,2,19,2,1,1,6,NA,NA
2,3,3,3,2,7,3,10,6,1,1,1,10,4,2,19,2,1,2,5,76002,76001
1,3,2,3,2,10,1,1,1,1,1,1,5,4,1,31,1,1,3,10,76001,76005
1,1,2,3,2,10,10,1,6,10,1,1,1,4,2,62,1,0,3,10,76001,76009
1,2,2,3,2,4,5,8,5,10,1,1,6,4,1,36,2,0,2,3,76004,NA
1,3,3,3,2,8,4,2,5,3,4,1,5,2,1,38,2,1,5,3,76002,76005
1,2,2,3,2,10,10,1,6,1,1,1,5,2,1,29,2,1,3,5,76002,76001
2,3,2,3,1,10,1,1,6,1,3,1,3,4,1,46,2,1,4,NA,NA,76008
2,3,2,1,2,1,1,3,7,1,5,6,10,2,2,37,2,0,1,7,76006,76001
2,3,2,3,2,2,2,8,7,5,1,1,4,4,1,20,2,0,2,9,76006,76002
2,2,2,3,2,6,8,6,8,1,1,10,10,2,2,33,2,1,1,5,76002,76001
2,3,2,3,3,1,1,1,5,3,1,1,9,4,1,53,2,0,2,9,NA,76009
1,3,2,3,2,1,1,1,7,1,1,1,10,4,1,43,2,1,3,7,76008,76002
1,3,3,1,1,8,5,1,6,1,5,1,1,4,1,31,2,0,4,5,76010,76002
NA,3,2,3,2,8,1,1,7,4,1,1,5,4,1,22,3,1,3,5,76003,76002
