"B008","C001","C002","E018","E035","E036","E039","F028","F116","F118","F120","F121","G006","X001","X003","X025R","X028","X049","X051","Y001","E033","E179WVS","E182"
1,1,1,2,5,1,1,2,1,5,1,1,4,1,33,3,1,8,1,2,5,4,76003
2,1,2,3,5,10,10,8,2,5,2,5,4,2,45,2,1,8,1,3,NA,4,76002
1,1,2,3,10,5,10,7,1,3,1,4,3,2,32,2,1,8,1,3,10,4,4
2,1,2,3,4,4,3,8,2,2,1,3,2,2,20,2,0,8,1,2,7,76006,76002
1,1,2,3,5,6,3,7,1,1,1,5,3,2,68,NA,1,8,1,0,5,4,NA
1,3,1,2,1,3,1,8,8,4,5,2,3,1,26,2,1,8,0,0,5,76002,76010
1,1,2,3,8,4,1,6,4,2,2,6,4,2,24,1,1,8,1,1,8,76002,76010
2,3,1,3,1,8,3,6,1,1,1,5,3,1,36,2,1,8,1,NA,6,76029,4
2,2,2,3,2,6,3,6,2,2,8,8,3,1,52,2,1,7,1,2,2,76002,76010
2,2,2,3,1,9,2,6,3,3,3,7,3,1,21,2,0,7,0,2,1,76002,76010
1,3,2,3,6,1,4,8,10,1,1,1,3,2,70,1,1,7,1,3,6,4,4
1,2,2,3,2,8,2,6,5,5,5,5,3,2,37,2,0,7,1,1,3,76002,4
2,3,2,3,1,2,1,6,1,1,10,10,3,1,60,1,1,7,0,0,10,76003,4
2,2,2,3,2,7,2,6,8,2,2,8,3,1,29,1,1,7,0,2,2,76002,76006
2,3,2,3,1,2,2,6,10,1,10,10,3,1,57,1,1,7,1,2,2,76002,4
2,1,2,3,1,1,1,7,10,1,10,10,4,2,60,1,0,7,1,3,8,4,4
1,1,2,3,1,3,1,7,1,8,2,2,4,2,67,1,0,7,1,2,8,76002,76006
1,2,2,3,1,2,3,2,10,1,10,10,3,1,41,1,1,7,0,2,6,76002,76029
1,3,3,3,5,5,6,2,3,1,1,1,3,1,35,2,0,8,0,2,1,4,4
1,2,1,3,10,7,6,2,1,1,1,1,3,1,20,1,0,8,0,1,4,76002,76010
1,1,2,3,5,6,7,8,3,7,2,6,3,2,42,2,0,8,1,2,4,76002,76005
2,1,3,2,4,7,9,2,2,2,2,2,4,1,67,2,1,8,0,1,4,76002,76007
2,1,3,3,1,4,8,7,3,9,1,2,3,2,32,2,1,8,1,3,3,76002,76005
1,1,1,3,8,6,9,6,2,5,2,5,3,2,29,3,1,8,0,2,8,76002,76003
1,1,1,3,1,5,8,3,1,1,1,1,2,2,40,2,1,8,0,2,7,76002,76007
1,3,3,3,8,8,10,3,2,7,1,7,3,1,45,1,1,8,1,1,9,76003,76002
1,1,3,3,5,10,5,8,5,1,1,5,3,1,23,2,1,8,1,3,5,4,4
1,1,1,3,3,4,5,7,2,2,2,2,3,1,21,2,0,8,0,2,3,76002,76001
1,3,3,3,1,1,6,8,1,1,1,1,4,1,68,3,1,8,1,3,6,76010,76002
1,1,3,3,10,10,10,2,5,5,5,4,3,2,27,1,0,8,1,2,10,76007,76005
2,3,2,3,4,5,7,8,4,5,1,1,3,1,21,2,1,8,0,2,7,76003,76006
2,3,2,3,2,9,1,7,3,1,3,5,3,2,28,2,0,8,1,1,8,76002,76010
1,1,3,3,5,6,5,8,2,5,3,4,4,2,26,2,1,8,0,1,8,76002,76010
1,3,3,3,8,6,7,8,3,3,3,3,4,1,31,2,1,8,1,1,6,76003,76002
1,3,3,3,8,7,5,7,3,3,3,4,4,1,27,3,1,8,1,1,6,76002,76004
2,3,3,3,4,9,5,7,1,7,3,5,3,1,33,1,0,8,0,2,8,76002,76004
2,3,3,3,4,6,6,7,5,5,3,4,4,2,24,2,0,8,0,1,5,76002,76003
2,3,3,2,2,4,3,7,4,10,5,3,3,2,51,1,1,8,0,1,5,76003,76002
2,3,2,3,4,3,5,7,2,1,1,1,3,1,64,2,1,6,1,3,5,NA,76010
1,1,2,3,10,9,1,6,1,5,4,5,3,2,33,1,1,6,1,2,5,NA,NA
2,2,2,3,3,5,7,8,6,1,1,1,3,2,58,1,1,6,1,1,6,76001,76003
1,2,2,3,1,1,3,6,2,1,1,5,3,1,18,2,1,6,1,4,7,4,4
1,1,3,3,8,9,7,2,8,5,1,5,4,2,19,1,1,6,0,3,6,76002,76003
1,3,1,3,10,10,4,5,7,4,2,8,3,2,36,1,1,6,1,3,10,76001,76029
1,1,2,3,10,2,1,6,1,1,1,5,3,2,37,1,1,6,1,1,4,4,4
2,1,2,3,10,1,1,6,7,7,1,10,4,1,36,2,1,6,1,2,7,76002,4
1,3,2,2,8,1,2,3,4,2,1,4,4,1,49,1,1,6,1,0,10,4,4
1,3,2,3,3,1,2,6,5,5,1,5,3,1,34,1,1,6,1,3,5,4,4
1,1,2,3,10,1,10,2,1,7,1,1,2,1,30,1,1,7,0,2,4,76002,4
1,1,2,3,10,5,1,7,5,5,1,7,4,2,21,3,1,7,1,2,1,76002,76001
3,2,2,3,5,1,1,8,3,1,1,1,2,2,37,2,0,7,0,4,5,76003,76001
1,1,2,2,5,7,3,7,5,1,1,1,4,1,54,1,1,7,0,3,8,76002,76003
1,1,2,3,1,9,5,2,1,5,1,9,3,2,31,2,0,7,1,2,3,76002,76004
2,3,2,3,9,10,8,6,8,1,1,8,4,1,58,1,1,7,0,1,9,76002,5
1,1,2,3,1,1,1,2,5,5,1,10,4,2,40,1,0,7,1,2,6,76002,4
1,1,2,1,6,9,10,8,5,1,1,6,NA,1,19,1,0,7,0,3,6,76010,4
1,1,1,3,5,6,1,1,1,10,1,10,4,2,18,3,1,7,0,4,10,76029,4
1,1,2,3,4,10,10,2,1,8,1,8,2,2,21,2,0,7,1,3,3,4,4
1,1,2,1,1,1,1,2,5,10,1,7,3,1,59,1,1,7,0,3,7,76001,76002
1,1,2,2,7,7,7,1,5,5,1,NA,4,1,54,1,1,7,0,2,8,76002,76005
1,1,2,2,8,5,4,2,6,8,1,8,3,1,26,2,1,7,1,2,7,76029,76003
2,1,2,3,1,3,4,7,8,1,1,1,3,2,70,1,0,7,1,0,3,76001,76002
1,2,1,3,4,8,4,3,10,4,4,5,4,1,61,1,1,7,1,2,5,76002,5
2,2,2,2,5,10,5,7,3,1,1,1,3,2,57,1,0,7,1,1,5,76001,76002
1,3,2,3,7,5,3,6,3,5,1,8,2,1,36,3,0,7,1,NA,5,76003,4
1,2,2,2,1,1,1,7,1,1,1,1,3,1,40,2,1,7,0,1,10,76004,76010
1,1,2,3,10,10,1,2,10,5,10,5,3,1,37,2,1,7,0,2,5,76002,76003
2,1,2,3,10,10,1,6,1,1,1,1,3,2,36,1,1,7,0,2,5,76002,76001
2,2,2,3,4,2,2,3,9,2,2,NA,2,1,53,1,1,8,1,2,6,76001,76005
1,1,1,3,6,4,3,1,1,5,5,8,3,1,45,3,1,8,1,4,4,76004,76006
1,3,2,2,7,4,3,8,3,1,1,3,3,2,47,3,0,8,1,2,NA,NA,76002
2,1,3,3,5,7,8,2,2,5,1,5,3,2,21,2,1,8,1,4,6,4,76029
1,1,1,2,6,3,3,7,5,1,1,5,3,2,43,2,0,8,0,2,7,76003,76002
2,1,2,2,6,3,4,7,4,2,1,4,4,1,53,1,1,8,0,3,5,76002,76006
1,2,2,2,5,3,4,7,6,3,1,5,3,2,59,1,0,8,0,3,5,76006,76002
2,3,2,2,5,3,2,2,7,1,2,5,4,1,34,2,0,8,0,1,5,4,4
1,1,2,2,7,4,2,8,3,5,1,6,4,2,38,2,0,8,1,2,4,4,76010
2,1,2,2,2,1,2,2,2,1,1,5,4,2,60,2,1,8,1,1,5,76006,76002
2,1,2,3,8,7,9,7,5,1,1,5,2,2,41,1,1,7,0,1,8,4,4
1,2,2,3,10,5,2,8,1,1,1,4,4,1,52,1,1,7,1,1,10,76002,76003
1,1,2,3,7,5,7,1,2,5,1,10,4,2,34,1,1,7,1,2,8,76007,76001
1,1,2,3,7,4,5,6,2,1,1,8,3,2,75,1,1,7,1,1,5,4,4
2,2,2,3,10,10,3,7,5,2,2,2,2,1,50,1,1,7,0,1,8,76002,4
1,2,2,3,8,7,4,2,7,1,1,1,4,1,31,2,1,7,0,1,8,4,76002
1,1,2,3,8,7,4,2,1,2,4,5,3,1,19,1,0,7,1,1,7,4,4
1,1,2,3,6,6,7,6,3,1,1,8,4,1,38,1,1,7,1,3,5,4,4
1,3,3,3,7,7,5,8,2,2,1,3,3,1,32,1,0,7,0,0,5,4,4
2,1,2,3,7,3,4,2,1,1,1,8,4,1,24,3,0,7,1,4,1,76003,76002
1,2,2,3,1,5,1,7,3,1,1,1,4,2,46,2,0,5,0,2,2,76007,76010
1,1,2,3,8,3,2,2,2,1,1,3,3,1,20,1,0,5,0,4,6,76006,76029
1,2,2,3,4,10,4,7,1,6,4,7,4,2,57,1,1,5,0,2,5,4,4
1,1,2,2,1,5,5,7,5,8,2,8,4,2,22,2,0,5,1,3,5,76029,76004
1,1,2,2,4,1,1,2,1,5,5,5,4,1,28,2,1,5,0,4,1,76002,76006
2,3,2,3,7,7,4,2,4,3,7,6,1,2,36,2,0,5,0,3,6,76002,76010
1,2,2,3,2,8,4,2,2,9,1,7,2,2,45,1,1,5,0,2,5,76002,4
2,2,2,3,10,5,1,3,5,5,5,10,1,1,31,2,1,5,0,3,1,76002,76006
2,1,1,2,8,8,3,2,1,2,7,4,3,1,35,3,1,5,0,3,1,76002,76006
1,1,2,3,3,7,3,6,1,5,1,3,3,1,48,1,1,5,0,3,5,76006,76001
2,3,2,3,6,8,3,2,4,6,2,5,3,2,78,1,1,7,1,3,5,76002,4
1,1,2,3,6,6,6,2,9,9,1,10,3,2,36,2,1,7,0,2,6,76002,76003
1,1,2,NA,4,4,4,2,1,1,1,10,4,2,37,1,1,7,0,2,5,76002,76006
1,1,2,3,10,9,5,7,1,10,1,10,1,1,42,1,0,7,1,2,1,76001,76002
2,1,1,3,8,7,6,5,9,1,1,1,4,2,66,1,1,7,0,1,8,76001,4
1,2,2,3,8,8,6,2,7,5,2,5,4,2,76,3,1,7,1,2,2,76002,76001
1,1,2,3,7,10,10,8,1,1,1,10,3,2,51,2,1,7,1,1,5,76001,76002
3,1,2,2,10,3,4,6,1,1,9,9,3,1,65,3,1,7,1,2,5,76003,76002
1,1,2,3,10,1,1,2,1,5,1,10,4,1,45,2,1,7,1,2,5,76002,76003
1,1,2,3,1,10,10,7,1,1,1,10,2,2,43,2,1,7,1,2,5,76002,4
1,1,2,3,4,3,2,7,1,1,10,10,3,2,39,1,0,7,1,1,2,76003,76010
1,2,2,3,1,1,1,2,10,1,10,10,3,1,22,1,0,7,1,0,1,76002,76003
2,1,2,3,3,2,2,6,1,1,2,2,2,2,53,2,1,7,1,1,2,76002,4
2,2,2,2,3,8,2,7,2,2,2,3,3,1,62,1,1,7,1,2,2,76002,4
1,1,2,3,1,9,2,6,6,8,2,8,3,2,18,2,0,7,0,1,2,76002,76005
1,2,2,3,2,9,2,6,9,2,2,9,4,2,60,1,1,7,1,0,6,76002,76010
1,1,2,3,1,9,2,7,1,1,7,7,3,2,18,2,0,7,1,1,3,76002,4
2,1,2,3,2,7,2,8,2,2,8,8,3,2,44,1,1,7,1,2,2,76002,4
2,2,2,2,2,8,8,2,4,4,4,7,3,1,61,1,1,7,0,1,6,76003,4
2,1,2,3,1,6,6,8,1,1,1,1,4,1,66,1,1,7,1,2,9,76001,4
1,3,2,3,8,6,5,8,8,1,1,1,3,1,37,1,1,8,1,1,9,76002,4
1,1,2,3,6,10,1,6,1,8,1,7,4,1,22,1,1,8,0,3,NA,76002,76010
1,1,1,3,4,6,5,2,5,8,8,8,4,1,45,2,0,8,1,1,2,76002,76003
1,2,2,3,5,5,1,8,1,1,1,10,2,1,56,1,1,8,0,1,5,76002,4
2,2,2,3,3,3,3,7,3,1,1,1,4,2,39,1,0,8,0,3,8,76002,4
2,2,2,2,10,1,1,7,5,1,1,10,1,1,30,1,0,8,0,3,5,76002,4
1,1,2,3,3,8,4,6,5,8,4,4,3,1,29,2,1,8,0,1,7,76003,4
3,1,2,2,5,4,10,7,5,5,1,10,1,2,30,1,1,8,0,1,5,4,4
1,1,2,3,7,10,1,8,1,10,1,4,4,2,27,1,0,8,1,0,7,76002,4
